element,description,label,measure,limit,comment,link
Antimon,Antimon är en halvmetall som bla kan hittas i plast, flamskyddsmedel och glas.,Sb,mg/kg,5,Farligt Avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
Asbest, Asbest är ett samlingsnamn på flera mineraler som finns i naturen. Asbest har tidigare använts som brandskydd i stålkonstruktioner, ventilationsanläggningar, värmeisolering i rör, underskikt till plastmattor, fix och fog till kakel,färger och plaster,1332-21-4,0.1,Svar JA innebär att det innehåller asbest,https://www.av.se/arbetsmiljoarbete-och-inspektioner/publikationer/foreskrifter/hygieniska-gransvarden-afs-20181-foreskrifter/
BBP,BBP heter även butylbensylftalat och är en ftalat som går att hitta i mjukgörare, Ftalater kan bla hittas i PCV-golv, elkablar och slangar,,85-68-7,%,0.1,Föbjudet och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
Bly,Bly är en metall som går att hitta i färger/elektriska tillämpningar/blyspröjsar och batteri.https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Pb,mg/kg,0.5,Allmänt,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
CFC-11,CFC-11 heter även fluortriklormetan och används som köldmedium i bla kylskåp och installationstekniska system,75-69-4,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
CFC-12,CFC-12 heter även difluordiklormetan och används som köldmedium i kylskåp och installationstekniska system,75-71-8,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
CFC-113,CFC-113 heter även trifluortrikloretan och används som köldmedium i kylskåp och installationstekniska system,76-13-1,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
Cr6+,Cr6+ är en "uppdelning" av krom och används bla i träskyddsmedel på telefonstolpar,18540-29-9,mg/kg,2.5,Innebär att det är krom som uppdelathttps://www.naturvardsverket.se/Stod-i-miljoarbetet/Vagledningar/Fororenade-omraden/Riktvarden-for-fororenad-mark/
DBP,DBP heter även di-n-butylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv/elkablar och slangar.,80-43-3,%,0,1,Farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DCP,DCP heter även di-cyklohexylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv, elkablar och slangar.,80-43-3,%,0.1,Farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DEHP,DEHP heter även di-(2-etylhexyl)ftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv, elkablar och slangar.,117-81-7,%,0.1,Begränsat i elektronik och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DEP,DEP heter även dietylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv, elkablar och slangar.,84-66-2,%,0.1,Reglerat användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DIBP,DIBP heter även di-iso-butylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv, elkablar och slangar.,84-69-5,%,0.1,Reglerad användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DOC,DOC innebär organiskt upplöst material/kol och går bla hitta i mark och vatten.,Finns inget,mg/kg,1000,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
DMP,DMP heter även dimetylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv/ elkablar och slangar,131-11-3,%,0.1,Reglerad användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DNOP,DNOP heter även di-n-oktylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv/ elkablar och slangar.,117-84-0,%,0.1,Reglerad användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DNPP,DNPP heter även di-n-pentylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv/ elkablar och slangar,131-18-0,%,0.1,Reglerad användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
DPP,DPP heter även di-n-propylftalat och är en ftalat som går att hitta i mjukgörare. Ftalater kan bla hittas i PCV-golv, elkablar och slangar,131-16-8,%,0.1,Reglerad användningsområde och utgör farligt avfall,https://www.kemi.se/lagar-och-regler/reach-forordningen/begransning/aktuellt-om-begransningar
Fluorid,Flurid är negativt laddade jouner och flour och används bla i träskyddsmedel på telefonstolpar,F-,mg/kg,500,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
HCFC-22,HCFC-22 heter även difluorklormetan och är ett köldmedium och används bla i kylskåp/ installationstekniska system och rörisoleringar.,75-45-6,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
HCFC-141b,HCFC-141b heter även 1.1-Dichloro-1-fluoroethane och är ett köldmedium och används bla i kylskåp/ installationstekniska system och rörisoleringar.,1717-00-6,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
HCFC-142b,HCFC-142b heter även 1-Chloro-1.1-difluoroethane och är ett köldmedium och används bla i kylskåp/ installationstekniska system och rörisoleringar.,75-68-3,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
HFC-134A,HFC-134A heter även 1.1.1.2-Tetrafluoretan och är ett köldmedium och används bla i kylskåp/ installationstekniska system och rörisoleringar.,811-97-2,mg/kg,1000,Farligt avfall,https://eur-lex.europa.eu/legal-content/SV/TXT/PDF/?uri=CELEX:32008R1272&from=SV
Klorid,Klorid är en negativt laddad jon av grundämnet klor och är bla en beståndsdel i träskyddsmedel som används på telefonstolpar.,Ci-,mg/kg,25000,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
Klorparaffiner MCCP,input type="checkbox" id="MCCP" name="MCCP" value="MCCP"></summary><p><small>MCCP är mellankedjiga klorparaffiner och går bla att hitta i fogar och plastgolv.,85535-85-9,mg/kg,1000,Tänk på att dubbelkolla om beräkning behövs göras,http://www.sanerapcb.nu/web/page.aspx?refid=706
Klorparaffiner SCCP,SCCP är kortkedjiga klorparaffiner och går bla att hitta i fogar och plastgolv.,,85535-84-8,>mg/kg,1000,Tänk på att dubbelkolla om beräkning behövs göras,http://www.sanerapcb.nu/web/page.aspx?refid=706
Klorparaffiner SCCP+MCCP,Är både kort- och långkedjiga klorparraffiner och går bla att hitta i fogar och plastgolv.,85535-84-8,mg/kg,2500,Tänk på att dubbelkolla om beräkning behövs göras,http://www.sanerapcb.nu/web/page.aspx?refid=706
Kobolt,Kobolt är ett metaliskt grundämne som bla är en beståndsdel i träskyddsmedel som används på telefonstolpar.,Co,mg/kg,15,Torrsubstans,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Koppar,Koppar är ett metalliskt grundämne som bla använd inom elektriska system, färger och beståndsdel i träskyddsmedel som används på trästolpar.,Cu,mg/kg,2,Allmänt,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Krom total,Krom är ett metaliskt grundämne som bla är en beståndsdel i träskyddsmedel som på telefonsstolpar.,Cr,mg/kg,0.5,Allmänt,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Kvicksilver,Kvicksilver är ett metalliskt grundämne som bla är en används som stabilisator i PVC plast, pigment och beståndsdel i nivåvippor,Hg,mg/kg,2,Byggmaterial,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Mangan,Mangan är ett metaliskt grundämne som bla är en beståndsdel i träskyddsmedel som används på trästolpar.,Mn,mg/kg,Finns inget,Byggmaterial,https://www.naturvardsverket.se/Om-Naturvardsverket/Publikationer/ISBN/5900/978-91-620-5976-7/
Molybden,Molybden är ett metaliskt grundämne.,Mo,mg/kg,30,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
Nickel,Nickel är ett metaliskt grundämne som bla är en beståndsdel i träskyddsmedel som används på telefonstolpar,Ni,mg/kg,50,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
Selen,Selen är ett icke metaliskt grundämne.,Se,mg/kg,7,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
Toluene,Toluene är ett aromatiska kolväten och kan finnas i en rad byggmaterial.,108-88-3,µg/m3,2 900,Finns inget gränsvärde, förslag från kemikalieinspektonen.,https://www.kemi.se/global/rapporter/2015/rapport-8-15-halsoskadliga-kemiska-amnen-i-byggprodukter.pdf"
PCB,PCB heter även polyklorerade bifenyler och är en rad hälso- och miljöfarliga ämnen. PCB går bla att hitta i fogar/ ventilationstätningar och halkfria golv.,1336-36-3,mg/kg,50,Fogmassor,http://www.sanerapcb.nu/web/page.aspx?refid=12"
Zink,Zink är ett metaliskt grundämne som bla är en beståndsdel i träskyddsmedel som används på telefonstolpar.,Zn,mg/kg,200,Farligt avfall,http://www.naturvardsverket.se/Documents/publikationer/620-0144-2.pdf
